title	type	genres	releaseYear	imdbId	imdbAverageRating	imdbNumVotes	availableCountries
Bridget Jones's Diary	movie	Comedy, Drama, Romance	2001.0	tt0243155	6.8	269130.0	AU, BR, CL, CO, MX
Angel Heart	movie	Horror, Mystery, Thriller	1987.0	tt0092563	7.2	98042.0	US
Life Is Beautiful	movie	Comedy, Drama, Romance	1997.0	tt0118799	8.6	760219.0	IT
Catch Me If You Can	movie	Biography, Crime, Drama	2002.0	tt0264464	8.1	1130789.0	CA, US
Battleship Potemkin	movie	Drama, History, Thriller	1925.0	tt0015648	7.9	62453.0	GB
A.I. Artificial Intelligence	movie	Adventure, Drama, Sci-Fi	2001.0	tt0212720	7.2	327578.0	AT, CA, CH, DE, FR, GB, IE, IT, US
Beauty and the Beast	movie	Drama, Fantasy, Romance	1946.0	tt0038348	7.9	28598.0	GB
Belle de Jour	movie	Drama, Romance	1967.0	tt0061395	7.6	50240.0	DE, GB
Nosferatu: A Symphony of Horror	movie	Fantasy, Horror	1922.0	tt0013442	7.8	109231.0	GB
Paris, Texas	movie	Drama	1984.0	tt0087884	8.1	125954.0	GB
The Marriage of Maria Braun	movie	Drama	1979.0	tt0079095	7.7	15295.0	DE, GB
Saw IV	movie	Horror, Mystery, Thriller	2007.0	tt0890870	5.9	168705.0	BR, CO, IN, MX
Oldboy	movie	Action, Drama, Mystery	2003.0	tt0364569	8.3	656952.0	AU, DE, GB, IT
Pulp Fiction	movie	Crime, Drama	1994.0	tt0110912	8.9	2277316.0	AT, CH, DE, FR, GB, IE, IT, US
Dead Man Walking	movie	Crime, Drama	1995.0	tt0112818	7.5	103251.0	BR, CL, CO, MX
Pickpocket	movie	Crime, Drama	1959.0	tt0053168	7.6	25977.0	GB
Meet the Fockers	movie	Comedy, Romance	2004.0	tt0290002	6.3	291521.0	AT, AU, CH, DE, FR, GB, IE, IT
Effi Briest	movie	Drama, History	1974.0	tt0071458	6.9	2796.0	DE
The Piano	movie	Drama, Music, Romance	1993.0	tt0107822	7.5	96874.0	DE, GB
Together	movie	Comedy, Drama, Romance	2000.0	tt0203166	7.4	24686.0	GB
Top Gun	movie	Action, Drama	1986.0	tt0092099	6.9	515796.0	AR, AT, AU, BO, BR, CA, CH, CL, CO, CR, DE, DO, EC, FR, GB, GT, HN, IE, IT, MX, NI, PA, PE, PY, SV, US, VE
Shaun of the Dead	movie	Comedy, Horror	2004.0	tt0365748	7.9	608928.0	AU, US
Face/Off	movie	Action, Crime, Sci-Fi	1997.0	tt0119094	7.3	408646.0	CA, US
From Dusk Till Dawn	movie	Action, Crime, Horror	1996.0	tt0116367	7.2	348417.0	AT, CH, DE, FR, GB, IE, IT
Evil Dead II	movie	Comedy, Horror	1987.0	tt0092991	7.7	186839.0	AT, BR, CH, CL, CO, MX
Goodfellas	movie	Biography, Crime, Drama	1990.0	tt0099685	8.7	1291561.0	US
A Trip to the Moon	movie	Action, Adventure, Comedy	1902.0	tt0000417	8.1	57302.0	DE
The Rules of the Game	movie	Comedy, Drama	1939.0	tt0031885	7.9	31906.0	GB
The Grand Illusion	movie	Drama, War	1937.0	tt0028950	8.1	39593.0	DE
Monsieur Hulot's Holiday	movie	Comedy	1953.0	tt0046487	7.3	20672.0	DE
Vampyr	movie	Fantasy, Horror	1932.0	tt0023649	7.4	21187.0	GB
The Passion of Joan of Arc	movie	Biography, Drama, History	1928.0	tt0019254	8.1	62577.0	DE, GB
Gandhi	movie	Biography, Drama, History	1982.0	tt0083987	8.0	241994.0	AU
Platoon	movie	Drama, War	1986.0	tt0091763	8.1	447603.0	BR, CL, CO, MX
Persona	movie	Drama, Thriller	1966.0	tt0060827	8.0	133625.0	DE, GB
Annaluise & Anton	movie	Comedy, Drama, Family	1999.0	tt0161935	7.0	1079.0	DE
Roman Holiday	movie	Comedy, Drama, Romance	1953.0	tt0046250	8.0	150166.0	AT, CH, DE, FR, GB, IE, IT
Rosemary's Baby	movie	Drama, Horror	1968.0	tt0063522	8.0	243725.0	AR, AT, AU, BO, BR, CA, CH, CL, CO, CR, DE, DO, EC, FR, GT, HN, IE, IT, MX, NI, PA, PE, PY, SV, US, VE
Shrek	movie	Adventure, Animation, Comedy	2001.0	tt0126029	7.9	754265.0	AU
Shrek 2	movie	Adventure, Animation, Comedy	2004.0	tt0298148	7.4	517824.0	AU
Shrek the Third	movie	Adventure, Animation, Comedy	2007.0	tt0413267	6.1	339792.0	AU
